11029020;De arroz
11029090;Outras
11031100;De trigo
11031300;de milho
11031910;De cevada
11031920;De centeio
11031990;Outros
11032000;"Pellets"
11041200;de aveia
11041910;De milho
11041990;Outros
11042200;de aveia
11042300;de milho
11042900;de outros cereais
11043000;Germes de cereais, inteiros, esmagados, em flocos
11051000;Farinha, sêmola e pó
11052000;Flocos, grânulos e "pellets"
11061000;Dos legumes de vagem, secos, da posição 0713
11062010;De sagu
11062020;De mandioca
11062090;Outras
11063000;Dos produtos do Capítulo 8
11071000;Não torrado
11072000;Torrado
11081100;Amido de trigo
11081200;Amido de milho
11081300;Fécula de batata
11081400;Fécula de mandioca
11081910;Amidos
11081920;Féculas
11082000;Inulina
11090000;Glúten de trigo, mesmo seco
12010010;Para semeadura
12010090;Outra
12021010;Para semeadura
12021090;Outros
12022000;Descascados, mesmo triturados
12030000;Copra
12040010;Para semeadura
12040090;Outras
12051010;Para semeadura
12051090;Outras
12059010;Para semeadura
12059090;Outras
12060010;Para semeadura
12060090;Outras
12071010;Nozes
12071020;Amêndoas
12072010;Para semeadura
12072090;Outras
12073010;Para semeadura
12073090;Outras
12074010;Para semeadura
12074090;Outras
12075010;Para semeadura
12075090;Outras
12076010;Para semeadura
12076090;Outras
12079110;Para semeadura
12079190;Outras
12079910;Para semeadura
12079911;Nozes
12079912;Amêndoas
12079921;Para semeadura
12079929;Outras
12079931;Para semeadura
12079939;Outras
12079990;Outras
12081000;De soja
12089010;De girassol
12089020;De linho (linhaça)
12089090;Outras
12091000;Sementes de beterraba sacarina
12092100;de alfafa (luzerna)
12092200;de trevo (Trifolium spp)
12092300;de festuca
12092400;de pasto dos prados de Kentucky (Poa pratensis L)
12092500;De azevém (Lolium multiflorum Lam, Lolium perenne
12092600;de fléolo dos prados
12092900;Outras
12092910;De fléolo dos prados (Phleum pratensis)
12092990;Outras
12093000;Sementes de plantas herbáceas cultivadas
12099110;De cebolas
12099120;De alfaces
12099130;De tomates
12099140;De cenouras
12099190;Outras
12099910;De árvores frutíferas ou florestais
12099920;De fumo (tabaco)
12099990;Outros
12101000;Cones de lúpulo, não triturados nem moídos nem em
12102010;Cones de lúpulo
12102020;Lupulina
12111000;Raízes de alcaçuz
12112000;Raízes de "ginseng"
12113000;Coca (folha de)
12114000;Palha de papoula
12119010;Boldo
12119020;Piretro
12119040;Orégano (Origanum vulgare)
12119090;Outros
12121000;Alfarroba, incluídas as sementes de alfarroba
12122010;Das espécies utilizadas principalmente em
12122090;Outras
12123000;Nozes e amêndoas de damascos, de pêssegos
12129100;beterraba sacarina
12129920;Canadeaçúcar
12129930;Alfarroba, incluídas as sementes de alfarroba
12129990;Outros
12130000;Palhas e cascas de cereais, em bruto, mesmo
12141000;Farinha e "pellets", de alfafa (luzerna)
12149010;Beterrabas forrageiras
12149090;Outros
13011000;Gomalaca
13012000;Gomaarábica
13019010;Gomalaca
13019011;Adraganta
13019019;Outras
13019020;Adraganta
